account_length,voice_mail_plan,voice_mail_messages,day_mins,evening_mins,night_mins,international_mins,customer_service_calls,international_plan,day_calls,day_charge,evening_calls,evening_charge,night_calls,night_charge,international_calls,international_charge,total_charge
133,0,0,201.7,169.4,286.3,6,0,0,85,34.29,116,14.4,80,12.88,4,1.62,63.19
168,1,42,97.4,203.6,173.9,11.4,2,0,57,16.56,98,17.31,124,7.83,2,3.08,44.78
117,0,0,167.1,177.5,249.4,14.1,2,1,86,28.41,87,15.09,132,11.22,7,3.81,58.53
105,0,0,150,293.8,250.7,10.3,3,1,106,25.5,123,24.97,65,11.28,7,2.78,64.53
159,0,0,167.4,143.8,140.1,10.3,0,0,68,28.46,74,12.22,111,6.3,3,2.78,49.76
130,0,0,216.2,363.7,126.7,16.9,5,1,106,36.75,86,30.91,123,5.7,2,4.56,77.92
165,0,0,207.7,164.8,54.5,7.9,0,0,109,35.31,94,14.01,91,2.45,3,2.13,53.9
140,0,0,120.3,240.4,216.4,7.7,4,0,108,20.45,84,20.43,74,9.74,3,2.08,52.7
93,0,0,146.3,216.6,233,11.5,0,0,85,24.87,95,18.41,82,10.49,3,3.11,56.88
116,1,29,162.3,279.3,192.7,11.7,3,1,91,27.59,79,23.74,131,8.67,2,3.16,63.16
46,0,0,257.4,261.1,204.4,13.4,2,0,67,43.76,91,22.19,107,9.2,5,3.62,78.77
161,1,39,218.5,112.7,205.1,7.3,1,0,76,37.15,94,9.58,121,9.23,4,1.97,57.93
108,0,0,154.2,112.3,246.4,15.4,4,0,123,26.21,86,9.55,75,11.09,4,4.16,51.01
147,1,35,157.5,189.6,227,11.1,3,1,109,26.78,67,16.12,76,10.22,2,3,56.12
138,0,0,286.2,187.2,146.2,11,2,1,61,48.65,60,15.91,114,6.58,4,2.97,74.11
76,0,0,273.3,263.6,165.2,12,1,1,66,46.46,121,22.41,84,7.43,7,3.24,79.54
112,0,0,166,74.6,247.9,6.3,0,0,79,28.22,100,6.34,74,11.16,7,1.7,47.42
123,1,27,218.7,163.4,173.8,15,0,0,79,37.18,78,13.89,116,7.82,1,4.05,62.94
146,0,0,109,265.8,228.3,12.6,1,0,69,18.53,98,22.59,80,10.27,2,3.4,54.79
4,0,0,145.3,303.8,206.1,8.9,0,1,89,24.7,93,25.82,82,9.27,4,2.4,62.19
147,1,35,197.3,141.1,212.1,10.1,2,0,134,33.54,99,11.99,90,9.54,4,2.73,57.8
50,0,0,99.6,308.7,161.2,13.7,2,1,108,16.93,102,26.24,62,7.25,6,3.7,54.12
97,1,32,183.4,269.1,203.5,6.7,5,0,94,31.18,120,22.87,38,9.16,4,1.81,65.02
46,0,0,139.4,223.7,173.1,13.6,1,0,81,23.7,113,19.01,77,7.79,6,3.67,54.17
24,0,0,265.6,208.8,182.5,11.1,2,0,86,45.15,102,17.75,105,8.21,6,3,74.11
43,0,0,135.8,163.2,229.8,12.6,0,0,125,23.09,88,13.87,106,10.34,3,3.4,50.7
16,0,0,229.6,205.7,166.2,10.8,0,0,78,39.03,108,17.48,91,7.48,2,2.92,66.91
157,0,0,224.5,200.7,116.6,11.5,2,0,111,38.17,99,17.06,118,5.25,2,3.11,63.59
92,0,0,249.4,211.5,169,9.1,0,0,118,42.4,95,17.98,116,7.61,3,2.46,70.45
87,0,0,240,134.1,189.1,9.3,0,0,83,40.8,106,11.4,84,8.51,2,2.51,63.22
134,0,0,208.3,253.6,291,12.6,1,0,86,35.41,89,21.56,86,13.1,3,3.4,73.47
117,0,0,54.2,303.2,171.8,8.6,1,1,100,9.21,84,25.77,84,7.73,2,2.32,45.03
149,0,0,175.4,197.4,188.2,9.7,2,0,80,29.82,127,16.78,102,8.47,2,2.62,57.69
61,1,27,187.5,146.6,225.7,6.4,4,0,124,31.88,103,12.46,129,10.16,6,1.73,56.23
93,0,0,151.4,186.4,172.5,10.9,0,0,89,25.74,76,15.84,120,7.76,3,2.94,52.28
178,0,0,124.5,141.2,268.2,11.4,2,1,134,21.17,78,12,113,12.07,2,3.08,48.32
147,1,35,157.5,189.6,227,11.1,3,1,109,26.78,67,16.12,76,10.22,2,3,56.12
151,0,0,118.9,278.3,194.8,13.2,2,0,128,20.21,65,23.66,61,8.77,10,3.56,56.2
